rank	sentence	english
261	Air mengalir.	Water flows.
262	Keluarga kami besar.	Our family is big.
263	Hai, semuanya!	Hi, everybody!
264	Bawa dia pergi.	Take him away.
265	Kami kehilangan Mary.	We lost Mary.
266	Maafkan aku.	Forgive me.
267	Mungkin nanti.	Maybe later.
268	Matematika sulit bagi saya.	Mathematics is difficult for me.
269	Angkat tangan!	Hands up!
270	Dia peski yang sangat hebat.	She is a very good skier.
271	Dia menunggu.	He is waiting.
272	Tolong ikut saya.	Come with me, please.
273	Tom itu masa bodoh, kan?	Tom is careless, isn't he?
274	Apakah Paris jauh?	Is Paris far away?
275	Apa pekerjaan Anda?	What do you do?
276	Ah, aku paham maksudmu.	Ah, I see what you mean.
277	Kami berdua saksi.	We're both witnesses.
278	Aku paling suka yang ini.	I like this one best.
279	Gue gak peduli.	I don't care.
280	Ini agak aneh.	This is rather strange.
281	Anak-anak, dengarkan!	Kids, listen!
282	Itu penting?	Is it important?
283	Itu tadi enak.	That was good.
284	"Kamu cantik," kata si kakaktua.	"You're pretty," said the cockatoo.
285	Kami selesai!	We're done!
286	Dia memiliki teman di seluruh dunia.	He had friends all over the world.
287	OK, mari kita lakukan saja.	OK, let's just do it.
288	Tom meninggalkan mereka.	Tom abandoned them.
289	Itu cuma air.	It's just water.
290	Ini bukan suatu ancaman.	This is not a threat.
291	Saya yang terbaik.	I'm the best.
292	Tom khawatir.	Tom's concerned.
293	Tom sangat tua.	Tom is very old.
294	Tom memberikan bukti.	Tom provided evidence.
295	Harap tenang!	Be quiet!
296	Hentikan itu!	Leave it!
297	Biar saya coba.	Let me try.
298	Tunggu 3 menit saja.	Wait just 3 minutes.
299	Ini bukan sekolah.	This isn't a school.
300	Silakan duduk.	Sit down, please.
301	Sebelumnya aku salah.	I was wrong earlier.
302	Secara teori, kita kaya.	Theoretically, we are rich.
303	Aku berpikir maka aku ada.	I think, therefore I am.
304	Besok hari Rabu.	Tomorrow is Wednesday.
305	Aku minum air.	I'm drinking water.
306	Apakah Anda ingat Tn. Saito?	Do you remember Mr Saito?
307	Itu tidak berarti apa-apa.	It didn't mean anything.
308	Bulan Ramadan tiba.	Ramadan came.
309	Jangan bergerak!	Don't move!
310	Sejak kapan?	Since when?
311	Tom hampir lupa.	Tom had almost forgotten.
312	Tom datang kemari sendirian.	Tom came here alone.
313	Awas kepala!	Duck!
315	Tetapi dia sangat lucu!	But he's so cute!
316	Ini bukan soal uang.	It's not about the money.
317	Saya menggunakan Twitter.	I use Twitter.
318	Kami tau siapa kamu.	We know who you are.
319	Diam di situ!	Stand still!
320	Ini lebih aman.	It's safer.
321	Dia berjalan.	She walks.
322	Apa yang kau buat?	What did you make?
323	Astronomi itu sulit.	Astronomy is hard.
324	Bisa jadi itu senjata.	It could be a weapon.
325	Sayangnya, iya.	Unfortunately, yes.
326	Apa yang kamu inginkan?	What do you want?
327	Sejak kapan?	Since when?
328	Lebarnya sekitar tiga inci.	It's about three inches wide.
329	Buka pintu ini.	Open this door.
331	Tom memberi tahu Mary.	Tom told Mary.
332	Dan patah hati.	Dan was brokenhearted.
333	Beri dia kesempatan.	Give him a chance.
335	Dia bermain golf.	He plays golf.
336	Apa yang dia cari?	What did he look up?
337	Sudah dekat.	It's close.
338	Dia mendapat nilai A.	She got an A.
339	Tadi itu jelas.	It was clear.
340	Tim kami kalah.	Our team lost.
341	Dia mudah bosan.	He got bored quickly.
342	Akhirnya dia muncul.	At last he showed up.
343	Apelnya jatuh!	The apple fell!
344	Jaga agar Tom tetap diam.	Keep Tom quiet.
345	Sifku berakhir.	My shift's over.
346	Saya tidak akan memberitahu siapapun.	I will never tell it to anybody.
347	Beri aku alasan.	Give me a reason.
348	Ini menarik.	This is interesting.
349	Saya cantik.	I am beautiful.
350	Tom dan Frank adalah kawan baik.	Tom and Frank are good friends.
351	Tom dapat berubah.	Tom can change.
352	Lebih keras.	Louder.
353	Mata Tom biru.	Tom's eyes are blue.
354	Saya dokter.	I'm a doctor.
355	Adakah pintu keluar lainnya?	Is there another exit?
356	Ayo beritahu dia.	Let's go tell her.
357	Apa kau serius?	Are you serious?
358	Aku besar dan kuat.	I'm big and strong.
359	Tomlah yang bertanya.	It was Tom who asked the question.
360	Kemarin hari Minggu.	Yesterday was Sunday.
361	Tom meminta maaf.	Tom apologized.
362	Kerja bagus!	Well done!
363	Dia bunuh diri.	He committed suicide.
364	Pergilah tidur.	Go to sleep.
365	Ini adalah kehidupan!	This is life!
366	Dia berbeda.	She's different.
367	Berharap kau di sini.	Wish you were here.
368	Ayo, bangun!	Come on, get up!
369	Mimpi indah!	Sweet dreams!
370	Beri aku satu.	Give me one.
371	Tom menyelamatkan Mary.	Tom rescued Mary.
372	Apa kosa kata itu?	What's that vocabulary?
373	Dompetku hilang.	I have lost my wallet.
374	Hai! Apa kabar?	Hi! How are you?
375	Darah itu merah.	Blood is red.
376	Dengarkan aku!	Listen to me!
377	Ini kamar siapa?	Whose room is this?
378	Dia sedang lari	She is running.
379	Ayahku berkata tidak.	My dad said no.
380	Tom menyenangkan	Tom is fun.
381	Itu sulit dilakukan.	That's hard to do.
382	Omong kosong!	Nonsense!
383	Tom biasanya duduk di belakang.	Tom usually sits in the back.
384	Tidak ada raja.	There is no king.
385	Dasar lelucon bego!	What a stupid joke!
386	Bajingan, keluar dari sini	You filthy beast, get out of here!
387	Biar saya coba.	Let me try.
388	Ini makanan.	This is food.
389	Butuh bantuan?	Need some help?
390	Hanya ini kamera yang aku dapatkan.	This is the only camera I've got.
391	Tom meninggal.	Tom died.
392	Tunggu di ruang tunggu.	Wait in the waiting room.
393	Kamu menunggu demi aku? Makasih!	You waited for me? Thanks!
394	Ini istri kedua saya.	This is my second wife.
395	Dalam persatuan ada kekuatan.	In unity is strength.
396	Jangan marah.	Don't get angry.
397	Lepaskan Tom!	Let go of Tom.
398	Tom lebih tua daripada aku.	Tom is older than I.
399	Bacalah buku!	Read a book!
400	Dia sudah menikah.	He's married.
401	Aku berusaha menahan tawa.	I'm trying not to laugh.
402	Kau salah menilai diriku.	You have the wrong idea about me.
403	Aku punya rencana.	I've got a plan.
404	Ada telepon.	You're wanted on the phone.
405	Mereka mengajukan kasus itu ke pengadilan.	They submitted the case to the court.
406	Kita tidak butuh perang.	We don't need war.
407	Ada pertanyaan?	Any questions?
408	Siapa pemilik kapal itu?	Who is the owner of this ship?
409	Aku belajar.	I study.
410	Suara apa itu?	What was that sound?
411	Tom hampir lupa.	Tom had almost forgotten.
412	Dia tidak muda.	She is not young.
413	Apa yang Tom pikirkan?	What does Tom think?
414	Kami bertemu di tengah perjalanan.	We met along the way.
415	Dia menuju ke mana?	Where was he headed?
416	Itu cerita bohong.	It was a hoax.
417	Permisi sebentar.	Excuse me a minute.
418	Biarkan Tom naik.	Let Tom come aboard.
419	Dia langsung tertidur.	He fell asleep immediately.
420	Apa kamu paham?	Do you get it?
421	Apa perbedaan antara bebek?	What's the difference between a duck?
422	Ombaknya tinggi.	The waves are high.
423	Turun dari kasur!	Get out of bed!
424	Aku punya ide.	I have an idea.
425	Kaki Tom terluka.	Tom hurt his leg.
426	Emberku penuh.	My bucket is full.
427	Dia sendirian.	He is alone.
428	Ini negara Anda.	This is your country.
429	"Lima!" kata Alex.	"Five!" says Alex.
430	Kematian itu alami.	Death is natural.
431	Anjing ini homo.	This dog is gay.
432	Mengapa kamu berdiri?	Why are you standing?
434	Semua datang kecuali Jim.	All but Jim came.
435	Aku kira dia sakit.	I thought he was sick.
436	Kami memilih John sebagai kapten.	We chose John as captain.
437	Ini rahasia.	It's confidential.
438	Menang benar?	Is it really true?
439	Dia menerima kadoku.	He accepted my present.
440	Silakan duduk.	Sit down, please.
441	Itu cacing tanah.	That's an earthworm.
442	Apa yang kau bicarakan?	What on earth are you talking about?
443	Ekormu lucu.	Your tail is cute.
444	Buka matamu!	Open your eyes.
445	Jangan melawan ayahmu.	Don't go against your father.
446	Aku menunjukkan kamarku padanya.	I showed her my room.
448	Virus adalah agen penyebab banyak penyakit.	Viruses are the causative agents of many diseases.
449	Hubungi aku melalui kantor.	Call me at the office.
450	Hujan sepanjang hari.	It rained the whole day.
451	Akhir pekan ini dia sakit.	He became sick over the weekend.
452	Bu Dokter datang.	The doctor came.
453	Tom punya dua pilihan.	Tom has two options.
454	Selamat Ulang Tahun, Nona Aiba!	Happy birthday, Miss Aiba!
455	Jangan terlambat.	Don't be late.
456	Dia benci pesta.	He hates parties.
457	Helium, neon, argon, kripton, xenon, dan radon adalah gas mulia.	Helium, neon, argon, krypton, xenon and radon are noble gases.
458	Semakin buruk	It's getting worse and worse.
459	Apa yang 'kan kau lakukan dengan itu, bung?	What are you gonna do about it, mate?
460	Kesalahan bisa terjadi.	Mistakes happen.
461	Silahkan ikuti saya.	Please follow me.
462	Permisi, saya lewat.	Excuse me, I'm coming through.
463	Solusi itu hanya sementara.	The solution is only temporary.
464	Ini kamar nomor 839.	This is Room 839.
465	Api itu panas.	Fire is hot.
466	Aku memilih pilihan ketiga.	I chose the third option.
467	Berapa umur pesawat ini?	How old is this airplane?
468	Dia guru Fisika.	He's a physics teacher.
469	Tom dulu bahagia.	Tom used to be happy.
470	Apa nama film itu?	What was that film called?
471	Ramadan tiba.	Ramadan came.
472	Mau saya bantu?	Should I help you?
473	Tehnya panas.	The tea is hot.
474	Bumi itu bulat.	The earth is round.
475	Ia memakai bros.	She wears a brooch.
476	Aku punya setidaknya satu rumah.	I have at least one house.
477	Tom itu keren.	Tom is cool.
479	Itu tanggung jawab Anda.	That's your responsibility.
480	Aku lupa memberinya pesan itu.	I forgot to give him the message.
481	Saya bukan bayi.	I'm not a baby.
482	Itu bahasa apa?	What language is that?
483	Itu kantor Tom.	That's Tom's office.
484	Athena adalah putri dari Zeus.	Athena is the daughter of Zeus.
485	Aku melewati empat rumah.	I passed by four houses.
486	Tinggalkan aku.	Leave me.
487	Akhirnya dia muncul.	At last he showed up.
488	Omong kosong!	Nonsense!
489	Aku kenal mereka.	I know them.
490	Samsung adalah perusahaan Korea.	Samsung is a Korean company.
491	Mari kembali ke awal.	Let's go back to the beginning.
492	Ayah Tom di penjara.	Tom's father is in jail.
493	Saya setuju.	I agree.
494	Akhirnya! Mimpi kita menjadi nyata!	Our dream has come true, at last!
495	Dia sempurna.	He was perfect.
496	semoga sukses	Good luck!
497	Janji adalah janji.	A promise is a promise.
498	Aku bercanda.	I am joking.
499	Dia tampak sakit.	She looked ill.
500	Tom seorang pembunuh.	Tom is a murderer.
501	Ia menghancurkan Prancis.	He ruined France.
502	Aku membayar tunai.	I pay in cash.
503	Dia menulis surat.	He writes a letter.
504	Kelas berapa Tom?	What grade is Tom in?
505	Tom beruntung.	Tom was lucky.
506	Aku laki-laki.	I am a man.
507	Langit tampaknya marah.	The sky looks angry.
508	Kapan ulang tahunmu?	When is your birthday?
509	Sampai jumpa!	Good-bye!
510	Sebaiknya kamu tidur.	You should go to sleep.
511	Tom menembak Mary.	Tom shot Mary.
512	Namun, bahu saya sakit.	However, my shoulder hurts.
514	Ini bukan permainan.	This is not a game.
515	Koreksi ejaan saya bila itu salah.	Correct my spelling if it's wrong.
516	Bisakah kau menjaga rahasia?	Can you keep a secret?
517	Saya tidak tahan.	I can't stand it.
518	Ini sering terjadi.	This happens a lot.
519	Tutup bukumu.	Close your book.
521	Ini perintah, Tom.	That's an order, Tom.
522	Aku tidak begitu suka dengan hal semacam itu.	I'm not into that.
523	Jahat banget!	So mean!
524	Tak ada hubungan antara mereka	There is no connection between them.
525	Aku terbang.	I'm flying.
526	Es itu dingin.	Ice is cool.
527	Dia mengetahui kebenaran.	He knows the truth.
528	Pasukan musuh yang lebih kuat telah mengepung tentara kami.	The enemy's superior forces have encircled our army.
529	Hati-hati! Lantai basah.	Caution! Wet floor.
530	Aku mabuk laut.	I'm seasick.
531	Aku tidak peduli meskipun turun salju.	I don't care if it snows.
532	Cuaca hari ini sangat dingin sehingga membuat kami menggeletuk.	Today's weather is so cold that it makes us shiver.
533	Aku perempuan.	I am a woman.
534	Dia lebih baik dariku dalam segala hal.	He's better than me at everything.
535	Kita menangkap Tom.	We captured Tom.
536	Kopinya kurang.	There's not enough coffee.
537	Apa artinya tanda ini?	What does this mark mean?
538	Tom membeli roti.	Tom bought bread.
539	Tom tidak pernah mundur.	Tom never backs down.
540	Kita membeli mesin cuci.	We bought a washing machine.
541	Beberapa barang dicuri.	A few things were stolen.
542	Ini berita besar.	This is big news.
543	Tidak ada bukti.	There's no evidence.
544	Mimpi indah!	Sweet dreams!
546	Bisnis selalu dalam keadaan baik.	Business has been good.
547	Tom menangis.	Tom was crying.
549	Dia bisa menulis.	He can write.
550	Taninna menelepon.	Taninna phoned.
551	Tom itu berbahaya.	Tom's dangerous.
552	Apa kamu berubah pikiran?	Have you changed your mind?
553	Tom mencuri cincinnya.	Tom stole her ring.
554	Aku terluka.	I am injured.
555	Bawakan tas tersebut.	Bring the bag.
556	Pakai jasmu.	Put on your coat.
557	Kamu berani sekali.	You are very brave.
558	Ini agak aneh.	This is rather strange.
560	Dia melindungi kami.	He is protecting us.
561	Kenapa benda ini bundar?	Why is this thing round?
562	Tom membaca.	Tom reads.
563	Sudah jam setengah dua.	It's already half past one.
564	Mataku hitam.	I have black eyes.
566	Musim panas hampir tiba!	Summer is almost here!
567	Apelnya enak.	The apple is delicious.
568	Kamu suka lagu?	Do you like songs?
569	Aku mati kemarin.	I died yesterday.
570	Merokok berbahaya bagi tubuh.	Smoking is harmful to your health.
571	Selamat siang.	Good afternoon.
573	Kamu hanya memikirkan uang.	You're thinking only about money.
574	Aku tidak bersalah!	I am not guilty!
575	Sami mengirim sebuah foto.	Sami sent a picture.
576	Beri tahu aku mengenai pekerjaanmu.	Tell me about your job.
577	Dia memutuskan untuk menikah.	She decided to get married.
578	Wanita mengubah dunia.	Women change the world.
579	Kita saling cium	We kissed each other.
580	Harap tenang!	Be quiet!
581	Ini paman saya.	This is my uncle.
582	Tunggulah hingga besok pagi.	Wait until tomorrow morning.
583	Tom mendengarkan.	Tom listens.
584	Kami takut terhadap Tom.	We're afraid of Tom.
585	Aku punya saudara kembar.	I have a twin.
586	Tom melanggar hukum.	Tom broke the law.
587	Tom menghilang.	Tom disappeared.
588	Panggilan tugas.	Duty calls.
589	Betapa indahnya hari ini!	What a beautiful day today!
590	Lupakan dia.	Forget him.
591	Sudah minum obat?	Have you taken your medicine yet?
592	Ini hadiah dari Tom.	This is a gift from Tom.
593	Kopinya manis.	The coffee is sweet.
594	Sebelah matanya buta.	He is blind in one eye.
595	Dia menghabiskan banyak uang.	She spent a lot of money.
596	Aku butuh informasi.	I need information.
597	Tanya orang lain selain aku.	Ask someone else besides me.
598	Segi enam mempunyai enam sisi.	An hexagon has six sides.
599	Periksa kunci jawaban.	Check the answer key.
600	Sekarang aku bebas.	Now I am free.
601	Saya punya 13 juta dolar.	I have 13 million dollars.
602	Ini istri saya.	This is my wife.
603	John menyukai catur.	John likes chess.
604	Tom mengikuti Mary.	Tom followed Mary.
605	Bagaimana keadaan Mary?	How is Mary?
606	Itu milik Tom.	It's Tom's.
607	Mari kita pertahankan pernikahan kita.	Let's stay married.
608	Aku benci Tom.	I hate Tom.
609	Dia kakak laki-lakiku.	He's my older brother.
610	Mengerikan sekali!	How horrible!
611	Aku sudah pindah.	I've moved out.
612	Kotak itu berat.	The box is heavy.
613	Dia tidak sadar.	She is unconscious.
614	Mukamu merah.	Your face is red.
615	Tom adalah musuh pribadi saya.	Tom is a personal enemy of mine.
616	Ke arah selatan.	To the south.
617	Saya sangat menyesal.	I'm so sorry.
618	Penghujatan adalah kejahatan tanpa korban.	Blasphemy is a victimless crime.
619	Aku melihat wajah Tom.	I saw Tom's face.
620	Dia membuka pintu.	He opened the door.
621	Sebentar lagi jam enam.	It'll soon be six o'clock.
622	Ukraina membutuhkan presiden baru.	Ukraine needs a new president.
623	Pernah ke Inggris?	Have you ever been to Britain?
624	Maukah Anda bergabung dengan saya?	Would you care to join me?
625	Lantai berapa?	What floor?
626	Dia mengotori udara.	He pollutes the air.
627	Aku melewati empat rumah.	I passed by four houses.
628	Semua anggota hadir.	All the members were present.
629	Ini es batu.	This is an ice cube.
630	Gunakan kalkulator.	Use a calculator.
631	Mereka jujur.	They were honest.
632	Anak pintar!	Good boy!
633	Ada kebutuhan mendesak akan sistem baru.	There is an urgent need for a new system.
634	Gigiku putih.	My teeth are white.
635	Ayahku sibuk.	My father is busy.
636	Aku menghentikan waktu.	I stopped the time.
637	Aku mau memeriksa.	I'd like to check out.
638	Pelajaran akan dimulai.	The lesson will begin.
639	Dia berjanji kepadaku.	She promised me.
640	Bola itu bulat.	Balls are round.
641	Kursi kayu biasanya mahal.	Wooden chairs are usually expensive.
642	Nyonya Smith adalah seorang wanita yang sudah lanjut usia.	Mrs. Smith is an elderly lady.
643	Kehangatan pelukan memberi kenyamanan dan keamanan.	The warmth of a hug brings comfort and security.
644	Sami mampu melakukan ini.	Sami is capable of doing this.
645	Aku sebuah bintang.	I'm a star.
646	Aku sudah gagal.	I've failed.
647	Jalannya panjang.	The road is long.
648	Beri aku seratus dolar.	Give me a hundred dollars.
649	Tom adalah bos dari Mary.	Tom is Mary's boss.
650	Hobiku musik.	My hobby is music.
651	Panggil ambulan！	Call an ambulance.
652	Dia suka kereta api.	He loves trains.
653	Aku menyerah.	I give up.
654	Kami merencanakan serangan malam.	We planned a night attack.
655	Apakah kami musuh kalian?	Are we your enemies?
657	Kami mohon maaf.	We apologize.
