rank	sentence	english
273	He is a most clever boy.	That boy is very clever.
274	We've seen it.	We have seen it.
275	You only live once.	YOLO.
276	I'll miss you.	I am going to miss you.
277	Actually, I'm working.	Actually, I am working.
279	Tom's a shit.	Tom's a shithead.
280	We both saw Tom.	Both of us saw Tom.
281	I never heard of it.	I've never heard of it.
282	Once isn't enough.	Once is not enough.
283	We're ready.	We are ready.
284	My head aches.	I have a headache.
285	Someone called.	Someone phoned.
286	We used to date.	We were dating.
287	I've no idea.	I have no idea.
288	I knew that.	I knew that!
289	Hold on tight.	Hold on tight!
290	He is happy.	He's happy.
291	Shut the door.	Close the door.
292	Such is life.	That's the way the cookie crumbles.
293	Fuck my life.	Fuck my life!
294	He's my brother.	He is my brother.
295	I also went.	I went, too.
296	That's pretty.	That is pretty.
297	A dog bit me.	I was bitten by a dog.
298	I took a shit.	I shat.
300	I don't know yet.	I still don't know.
301	Men cry too.	Men cry, too.
302	The whole city burned.	The entire city burned.
303	Let's start!	Let's begin.
304	Use your head!	Use your head.
305	I've been here a while.	I've been here for a while.
306	I haven't seen him since.	I have not seen him since.
307	How's the wife?	How's your wife?
308	Those were the days!	Those were the days.
309	I'll take a guess.	I'll hazard a guess.
310	See you tomorrow.	See you tomorrow!
311	It doesn't matter.	It doesn't matter!
312	Who did you meet?	Whom did you meet?
313	Bring them back!	Bring them back.
314	See you tonight.	See you tonight!
315	Everyone sang.	Everybody sang.
316	I like to run.	I like running.
317	I wanna dream.	I want to dream.
318	That's hard.	That's difficult.
320	Tom's alone.	Tom is alone.
321	I wet myself.	I peed myself.
322	How's school?	How is school?
323	Tom is gone.	Tom's gone.
325	This is the end.	This is the end!
326	You were saying?	Did you say something?
327	Please phone him.	Please telephone him.
328	I play violin.	I play the violin.
329	She looks sad.	She seems sad.
330	Fucking hell.	Fucking hell!
331	No problem at all!	No worries!
332	I have a few ideas.	I've got some ideas.
333	We're friends.	He and I are friends.
334	I gotta leave.	I've got to go.
335	That was ages ago.	That was a long time ago.
336	Open the door.	Open the door!
337	Is anyone hurt?	Is anybody hurt?
338	I killed him.	I took him out.
339	Let's hope so.	Let's hope so!
340	Her face paled.	Her face grew pale.
341	I'll wait until 2:30.	I'll wait till 2:30.
342	We are lost.	We're lost.
343	Call the police!	Call the police.
344	I can't excuse her.	I cannot excuse her.
345	Turn off the TV.	Turn the TV off.
346	It's business.	It's work.
347	I hope that's not the case.	I hope not.
348	Tom wants revenge.	Tom wants vengeance.
349	Nobody says no!	Nobody says no.
350	That's true.	This is true.
351	I won't die.	I will not die.
352	I heart you.	I love you.
353	Come back soon.	Come back soon!
354	Each to his own.	Each to their own.
355	Don't worry.	Don't worry!
356	Maybe later.	Perhaps later.
357	Wait till next year.	Wait until next year.
358	I'll watch it.	I will watch it.
359	He loves music.	He has a great fondness for music.
360	Hand it over.	Hand it over!
361	I'm having lunch.	I'm eating lunch.
362	It'll probably rain.	It will probably rain.
363	She's beautiful.	She is beautiful.
364	I'm a doctor.	I am a doctor.
365	Please sit down.	Sit down, please.
366	I'll eat it.	I will eat it.
367	What're you thinking?	What are you thinking?
368	Tom's young.	Tom is young.
369	Let! Second serve.	Let! Second service.
370	I'm working.	I am working.
371	There's no water.	There is no water.
372	I'm a bad person.	I am a bad person.
373	To meet is to part.	We never meet without parting.
374	Kids, listen!	Children, listen!
375	We are late.	We're late.
376	What's that stuff?	What is that stuff?
377	I don't know exactly.	I do not know exactly.
378	We're under attack!	We're under attack.
379	I don't fear death.	I do not fear death.
380	Just a minute.	Just a moment.
381	They'll pay.	They will pay.
382	She's crazy.	She is crazy.
383	Don't forget.	Don't forget!
384	Hi everybody.	Hello everyone.
385	Don't kid me!	Don't pull my leg!
386	I'll go change.	I'll go change my clothes.
387	Tom gave us that.	Tom gave that to us.
388	Things happen.	Things like that happen.
389	God damn it!	God damn it.
390	Give me five!	Give me five.
391	They drink coke.	They drink cola.
392	It's not so far.	It isn't so far.
393	Nobody knows why.	No one can tell the reason.
394	Its name's Tom.	Its name is Tom.
395	Do whatever you can.	Do whatever you can do.
396	I have eyes.	I've got eyes.
397	Shut the door.	Close the door.
399	Someone hit me.	Somebody hit me.
400	She's taking a nap.	She's having a kip.
401	Take it easy!	Take it easy.
402	3 times 5 is 15.	Three times five is fifteen.
403	Check it out!	Check it out.
404	Clap your hands!	Clap your hands.
405	Please wait five minutes.	Please wait for five minutes.
406	It's a deal!	It's a deal.
407	Tom's different.	Tom is different.
408	I'll come by all means.	I will come by all means.
409	Get to the point!	Get to the point.
410	The cat's inside.	The cat is inside.
411	It makes sense.	That makes sense.
412	He asked my mom.	He asked my mum.
413	Somebody came.	Someone came.
414	That's mine.	That is mine.
415	He's making tea.	He's preparing supper.
416	Over my dead body.	Over my dead body!
417	I am afraid.	I'm scared.
418	Go to sleep.	Go to bed.
419	Not a chance!	No way!
420	You're a dear.	You are a dear.
421	Tom's quite good.	Tom is quite good.
422	Twice two is four.	Twice two is equal to four.
423	Where's Tom anyway?	Where is Tom anyway?
424	I'm close by.	I'm nearby.
426	Let's party!	Let's party.
427	Let's have fun!	Let's have fun.
428	We're against war.	We are against war.
429	That's not a word.	That isn't a word.
430	I hope Tom comes.	I hope that Tom comes.
431	Is it important?	Who cares?
432	We're all set.	We are all set.
433	Shall we begin?	Shall we start?
434	What's the story?	What is the story?
435	We're number one.	We're #1.
436	She's my daughter.	She is my daughter.
437	I'm not the least bit worried.	I am not the least bit worried.
438	I'm waiting.	I am waiting.
439	Tom is hurt.	Tom's hurt.
440	As you wish.	As you wish!
441	Wait a moment.	Wait one moment.
442	We'll fight.	We will fight.
443	I'll wait a week.	I will wait a week.
444	He's my husband.	He is my husband.
445	Hello, girls.	Hi, girls.
446	Take a rest.	Take a rest!
447	I'm married.	I am married.
448	Bloody hell fire!	Fucking hell!
449	It's game time!	It's game time.
450	Nobody came.	No one came.
451	Who's Mr. Owen?	Who is Mr. Owen?
452	Children, listen!	Kids, listen!
453	I'm on your side.	I am on your side.
454	Stand aside.	Stand aside!
455	I can't read.	I can not read.
456	I cannot even though I want to.	I can't even if I want to.
457	Cut the crap!	Cut the bullshit!
458	You started it.	You started it!
459	That's my sister.	That is my sister.
460	What am I supposed to eat?	What should I eat?
461	I'm bleeding between my periods.	I am bleeding between my periods.
462	I'm a child.	I am a child.
463	So goes life!	This is life!
464	I waited three hours.	I waited for three hours.
465	Speak clearly.	Speak clearly!
466	They're women.	They are women.
467	Look behind you.	Look behind you!
468	I'm almost done.	I'm almost ready.
469	It's the truth.	It is the truth!
470	It's not blood.	It isn't blood.
471	Is Tom able to swim?	Can Tom swim?
472	I don't know that lady.	I do not know that lady.
473	I can't walk anymore.	I can't walk any more.
474	He's playing.	He is playing.
475	Tom gets up at six.	Tom gets up at six o'clock.
476	Give it a shot.	Give it a try.
477	There's no reason.	There is no reason.
478	I'm in trouble.	I am in trouble.
479	Break a leg.	Break a leg!
480	We're at war.	We are at war.
481	I am a city mouse.	I'm a city dweller.
482	Walk slowly.	Walk slowly!
483	Let's go in town.	Let's go into town.
484	We all trust you.	All of us trust you.
485	Nobody met me.	No one met me.
486	He's at the office.	He is at the office.
487	Good question!	That's a good question.
488	Tom brought Mary a gift.	Tom brought a gift for Mary.
489	It's not yours.	It isn't yours.
490	Welcome home.	Welcome home!
491	I have a high fever.	I feel very feverish.
492	Wow! The pilaf at this restaurant is really good!	Wow! The pulao at this restaurant is really good!
493	We're a couple.	We are a couple.
494	It's half past eight.	It's eight-thirty.
495	Tom has died.	Tom's died.
496	It's so cool!	It's so cool.
497	We are free!	We're free!
498	No one told us either.	Nobody told us either.
499	She seems sad.	She looks sad.
500	The power is out.	The power's out.
501	Whoa, are you serious?	Woah, are you serious?
503	Don't buy it.	Don't buy it!
504	As if I needed telling!	As if I needed reminding!
505	I love you, honey.	I love you, baby.
506	I know you tried.	I know that you tried.
507	It's the front gate.	That's the main gate.
508	We're a team.	We're a team!
509	The answer is no.	The answer's no.
510	Drop the gun.	Drop the gun!
511	We are boys.	We're boys.
512	Get in line.	Get in the queue.
513	Send him to me!	Send him to me.
514	What's the news?	What is the news?
515	I am stupid.	I'm stupid.
516	Time for bed.	It's time to go to bed.
517	Hurry it up!	Hurry it up.
518	My stomach's full.	My stomach is full.
519	It'll take months.	It will take months.
520	God save the Queen.	God save the Queen!
521	I do that sometimes.	I sometimes do that.
522	They become nervous.	They get nervous.
523	I'll come along.	I will come along.
524	I hate math.	I hate maths.
525	Food is scarce.	Food is in short supply.
526	Hot outside?	Is it hot outside?
527	Turn on the light!	Turn on the light.
529	She needs to come.	She has to come.
530	You're a dog.	You are a dog.
531	I love my country.	I love my motherland.
532	It's not clear.	It isn't clear.
533	That's an order.	That's an order!
535	I'm aware of the fact.	I am aware of the fact.
536	Praise the Lord!	Thank God.
537	Mike is the team's captain.	Mike is captain of our team.
538	I got up at six.	I got up at six o'clock.
539	Hot outside?	Is it hot outside?
540	Tom's funny.	Tom is funny.
541	Isn't it black?	Is it not black?
542	Tom's alive.	Tom is alive.
543	I'll pick Tom up.	I will pick Tom up.
544	I'm feeling bad.	I feel poorly.
545	Tom is living alone.	Tom is living by himself.
546	That'll cause problems.	That's going to cause problems.
547	Tom must've gone ahead.	Tom must have gone ahead.
548	I can't lose!	I can't lose.
549	Long live the king!	Long live the king.
550	That's my plan.	This is my project.
551	Dinner is ready.	Dinner's ready.
553	Tom said he'd sort it out.	Tom said that he'd sort it out.
554	I'm leaving.	I am leaving.
555	I like running.	I like to run.
556	Tom's the boss.	Tom is the boss.
557	Is he alright?	Is he all right?
558	Keep your promise!	Keep your promise.
559	You should've taken it.	You should have taken it.
560	Tom is safe.	Tom's safe.
561	The children will now sing Ma Nishtana.	The children will now sing The Four Questions.
562	Read this book.	Read this book!
563	I sent Tom a card.	I sent a card to Tom.
564	The book's white.	The book is white.
565	We'll leave in an hour.	We will leave in an hour.
566	Ask anybody.	Ask anyone.
567	He is small.	He's small.
568	It's perfect.	It is perfect.
570	He lives nearby.	He lives near here.
571	You're special.	You are special.
572	They're parents.	They are parents.
574	John is good at math.	John is good at maths.
575	He killed himself.	He committed suicide.
576	Perhaps later.	Maybe later.
577	It sounds odd.	It sounds strange.
578	Get serious.	Get serious!
579	You're sick!	You're sick.
580	I work at this company.	I work for this company.
582	Tom's scared.	Tom is scared.
583	Tom will be an uncle.	Tom is going to be an uncle.
584	She isn't poor.	She's not poor.
585	Red is a color.	Red is a colour.
586	I'm your past.	I am your past.
587	The earth rotates.	The Earth rotates.
588	It's possible.	It is possible.
589	Don't shoot!	Don't shoot.
590	Do not touch!	No touching!
591	You sound mad.	You sound angry.
592	Tom's a top.	Tom is a top.
593	Everybody has an ass.	Everyone has an arse.
594	Nobody laughs at Tom's jokes.	No one laughs at Tom's jokes.
595	I cannot say.	I can't say.
596	He's asking after you.	He's enquiring after you.
597	OK, you win.	Okay, you win.
598	I'm glad I came.	I'm glad that I came.
599	Control yourself.	Control yourself!
601	To err is human.	To err is to be human.
602	Tom can't drive.	Tom cannot drive.
603	He had grey hair.	He had gray hair.
604	My name's Jack.	My name is Jack.
605	She's a bitch.	She is a whore.
606	Wish me luck.	Wish me luck!
607	Why'd someone want to murder me?	Why would someone want to murder me?
608	I hope that happens.	I hope that that happens.
609	You are on the air!	You are on the air.
610	Are you ten?	Are you ten years old?
611	Daddy is home.	Daddy's home.
612	He finally arrived.	He finally arrived!
614	Tom is fast.	Tom's fast.
615	I'm so cold.	I feel so cold.
616	You seem busy.	You look busy.
617	Stop laughing.	Stop laughing!
618	Words fail me.	I'm at a loss for words.
619	He's in hospital.	He is in hospital.
620	The street is crowded.	The street's crowded.
621	Don't hang up!	Don't hang up.
622	I can't dance.	I'm not able to dance.
623	Fancy meeting you here!	Fancy meeting you here.
624	It's five till four.	It's five to four.
625	Be kind to others!	Be kind to others.
626	Tom won't catch us.	Tom isn't going to catch us.
627	Follow that car.	Follow that car!
628	It makes sense.	That makes sense.
629	I've never had sex.	I have never had sex.
630	That's a lie!	That's a lie.
631	Good evening.	Good evening!
632	Practice makes the master.	One learns by doing.
633	I should've known.	I should have known!
634	I wanna dream.	I want to dream.
635	Write to me.	Write me.
636	There are a million ways to do this.	There are a million ways to go about doing this.
637	Keep your voice down.	Keep your voice down!
638	Life is sweet.	Life is enjoyable.
639	I'd rather see him.	I'd better see him.
640	Tom said he felt hot.	Tom said that he felt hot.
641	I didn't see the sign.	I did not see the sign.
642	Tom's lucky.	Tom is lucky.
643	Let's go somewhere.	Let's go somewhere!
644	I bet Tom ran away.	I bet that Tom ran away.
646	Jesus Christ!	Jesus!
647	I'm no longer tired.	I am no longer tired.
648	Thanks for calling.	Thanks for ringing.
649	You've worked hard.	You have worked hard.
650	Do be quiet.	Do be quiet!
651	She looked away.	She turned her eyes away.
652	5 is less than 8.	Five is less than eight.
653	Don't pull my leg!	Don't kid me!
654	Tom beat Mary up.	Tom beat up Mary.
655	Please be careful.	Be careful, please.
656	The coffee is cold.	The coffee's cold.
657	I'll return at 6:30.	I will be back at half past six.
658	It's a secret.	It is a secret.
659	I'm away for two weeks.	I'm away for a fortnight.
661	It's not a date.	It isn't a date.
662	Fancy seeing you here.	Fancy seeing you here!
663	I love fall.	I love autumn.
664	I would've given up.	I would have given up.
666	It's my fault.	I am to blame.
667	Stand up straight.	Stand up straight!
668	It takes practice.	It requires practice.
669	It's a song.	It is a song.
670	What'll our future be like?	What will our future be like?
671	Ladies before gentlemen.	Ladies first!
672	I loved that book!	I loved that book.
673	I've changed.	I have changed.
674	The road is long.	The way is long.
675	OK, calm down.	Okay, calm down.
676	It's wonderful!	It's wonderful.
677	You are mad.	You're mad.
678	Tom turned 13.	Tom turned thirteen.
679	Drop the gun.	Drop the gun!
680	Ladies first.	Ladies first!
681	I read to learn.	I read in order to learn.
682	Tom said it's a positive step.	Tom said that it's a positive step.
683	I'm absolutely sure!	I'm absolutely sure.
684	Tom's early.	Tom is early.
685	Let me explain.	Allow me to explain.
686	It's not clean.	It isn't clean.
687	They cost €3 a piece.	They cost three Euros a piece.
688	Sorry for yesterday.	Sorry about yesterday.
689	Throw me the ball.	Throw the ball to me.
690	Give me her picture!	Give me her picture.
691	Mr Ford owns this land.	Mr. Ford owns this land.
692	I'm six feet tall.	I am six feet tall.
693	I wonder who'll win.	I wonder who will win.
694	Tom asked Mary questions.	Tom questioned Mary.
695	We're not speaking.	We are not speaking.
696	It's worth a go.	It's worth a try.
697	It's unforgivable to date such a beggar, darling!	It's unforgivable to date such a broken man, darling!
698	That dude is out of his mind.	That guy is out of his mind.
699	I'm giving my bike away.	I am giving my bike away.
700	Who's the president?	Who is the president?
701	No one opened an eye.	Nobody opened an eye.
702	He was very quick.	He was very fast.
703	Stop moving!	Stop moving.
704	Do you like figure skating?	Do you like figure-skating?
705	I am the State!	I am the state.
706	He's strong.	He is strong.
708	I like none of them.	I don't like any of them.
709	Tom's amazing.	Tom is amazing.
710	Do you have less expensive ones?	Do you have anything cheaper?
711	I think it works.	I think that it works.
712	Act like a man.	Act like a man!
713	I needed that.	I needed this.
714	Tom's weird.	Tom is weird.
715	I'm the law.	I am the law!
716	Tom's worried.	Tom is worried.
717	Who'll write the report?	Who will write the report?
718	She said goodbye to me.	She bade me good-by.
719	Who's missing?	Who is missing?
720	We've no choice.	We have no choice.
721	What's happening?	What is happening?
723	When's the wedding?	When is the wedding going to take place?
724	It's strange.	It's weird.
725	He was a general in WWII.	He was a general in the Second World War.
726	What a pain!	What a pain.
728	Just kidding!	Just kidding.
729	I've decided.	I have decided.
730	Ya hafta smell the roses.	Thou shouldst smell the roses.
731	I didn't pass.	I did not pass.
732	Tom's tired.	Tom is tired.
733	Let's cut class.	Let's bunk off class.
734	I wish I was a police officer.	I wish I were a police officer.
735	I kept on reading.	I continued to read.
736	Tom, wake up.	Wake up, Tom!
737	I've seen worse.	I have seen worse.
738	Tom is busy.	Tom's busy.
740	It's a mistake.	It is a mistake!
741	Don't kiss me.	Don't kiss me!
742	Court is adjourned.	Court's adjourned.
743	I'm building a wall.	I am building a wall.
744	When does it finish?	When's it over?
745	Don't eat during class.	Do not eat during class.
746	What is his age?	How old is he?
747	Abandon ship!	Abandon ship.
748	I caught Tom.	I got Tom.
749	You said you'd marry me.	You said you would marry me.
750	I meant no offence.	I meant no offense.
751	Do you sell jewelry?	Do you sell jewellery?
752	It's very dark.	It is very dark.
753	Tom's watching.	Tom is watching.
754	That's not the system.	That isn't the system.
755	I suppose that's true.	I suppose that that's true.
756	I have evidence.	I have proof.
757	Life isn't a movie.	Life is not a movie.
758	Tom can't ride a bike.	Tom isn't able to ride a bike.
760	He's completely gone.	He's out of it.
761	Open your mouth!	Open your mouth.
762	He's totally lost it.	He's completely crazy.
763	Happy birthday!	Happy Birthday!
764	Tom's on TV!	Tom is on TV.
765	Please forgive me.	Please forgive me!
766	She was born blind.	She has been blind from birth.
767	I can't imagine it.	I cannot imagine it.
768	Is this information right?	Is this information correct?
769	She used margarine instead of butter.	She substituted margarine for butter.
770	It'll definitely rain.	It'll rain for sure.
771	What's Tom's social security number?	What is Tom's social security number?
772	Yes, certainly.	Yes, of course.
773	The film began at 2.	The film started at 2 o'clock.
774	I'm moving next month.	I am moving next month.
775	He is lying.	He's lying.
776	Tom doesn't speak unless spoken to.	Tom doesn't speak unless he's spoken to.
777	The train is in.	The train has arrived.
778	It's seven o'clock.	It is seven o'clock.
779	I'll wear a shirt.	I will wear a shirt.
780	Put on your clothes.	Put your clothes on.
781	That's a hotel.	That is a hotel.
782	It's Christmas.	It's Christmas!
783	We're under attack!	We're under attack.
784	We sat round the fire.	We sat around the fire.
785	I didn't expect that.	I did not expect that.
786	I don't sing.	I do not sing.
787	It's not so terrible.	It isn't so terrible.
788	George W. Bush is guilty of 269 war crimes.	George W. Bush is guilty of two hundred and sixty-nine war crimes.
789	Here's your bag.	Here is your bag.
790	I study art history.	I'm studying art history.
791	Her bike is blue.	Her bicycle is blue.
792	My flat is near.	My apartment is near here.
793	Tom may be broke.	Tom might be broke.
794	Where's the station?	Where is the station?
795	You're seriously ill.	You are seriously ill.
796	I'll love you forever.	I'll love you always.
798	I admire a person who expresses a frank opinion.	I admire people who express their opinions frankly.
799	No one except Tom did that.	No one but Tom did that.
800	Nobody thinks that.	No one thinks that.
801	I left you a message.	I left a message for you.
802	The entire city burned.	The whole city burned.
803	Tom's just your average Joe.	Tom is just your average Joe.
804	It's a table.	It is a table.
805	I talked to everyone.	I talked to everybody.
806	They cycled across Europe.	They travelled by bike across Europe.
807	I love rock.	I love rock music.
808	That's a lovely book.	That is a lovely book.
809	I'll handle it later.	I'll deal with it later.
810	I thought your middle name was Tom.	I thought that your middle name was Tom.
811	Thanks, buddy!	Thanks, bud!
812	I would've paid.	I would have paid.
813	I'll protect you!	I'll protect you.
814	I'm using Twitter.	I am using Twitter.
815	Which floor is it?	What floor?
816	He ran away.	He scarpered.
817	Don't swear!	Don't swear.
818	Spend whatever you need.	Spend whatever you need to spend.
819	What's our situation?	What is our situation?
820	It's my ring.	The ring is mine.
821	I'm not going anywhere.	I am not going anywhere.
822	It's dangerous!	It's dangerous.
823	Here's the bill.	Here is the bill.
824	I'm going to New York next week.	I am going to New York next week.
825	I'll join the army.	I will join the army.
826	Where does this road lead to?	To where does this road lead?
827	I've bought a car.	I have bought a car.
828	It's finished.	It is finished.
829	Fair enough!	Fair enough.
830	The sun is blinding.	The sun is dazzling.
831	I sent Tom a letter.	I sent a letter to Tom.
832	I'm such a fool.	I'm such an idiot.
833	Pay attention!	Watch out!
