rank	sentence	english
128	Inyo po ito.	This one belongs to you.
129	Sa kanya iyan.	That's his.
130	Kasama ko si Tom.	Tom is with me.
131	Ha. Para kanino kaya iyan?	Huh. I wonder who that's for.
132	Anong pangalan mo?	What is your name?
133	Ayaw ni Tom.	Tom is against it.
134	Pera lamang iyan.	It's only money.
135	Anak mo siya.	He's your son.
137	Punta ka dito, bilis!	Come quick!
138	Maganda si Mary.	Mary is beautiful.
139	Tubig nga po.	Water, please.
140	Pakitala nito.	Please record this.
141	Galing saan?	From where?
142	Baka gumana 'yan.	That might actually work.
143	Masakit ba pag umiihi ka?	Do you have pain when urinating?
144	Kawawang bata!	Poor child!
145	Hindi kita makita.	I can't see you.
146	Ginawa mo ba?	Did you make it?
147	Wala tayong oras.	We don't have time.
148	Ayos ba iyon?	Is that okay?
149	Marami akong goma.	I have lots of rubber bands.
150	Halika rito.	Come down here.
151	Bagay ba ito?	Does this fit?
152	Nakakatakot ang lugar na ito.	This is a scary place.
153	Anong palabas sa 10?	What is on Channel 10?
154	May nangyari.	Something happened.
155	Panahon na po.	It's about time.
156	Salamat sayo!	Thank you!
157	Halika rito.	Come down here.
158	Inom tayo o kung ano man.	Let's have a drink or something.
159	Ngunit tao silang lahat.	But they are all people.
160	Salamat, pare.	Thanks, mate.
161	Bagay kayong dalawa!	You guys look way adorable together!
162	Sandali lang.	Just a moment, please.
163	Pasok sa loob.	Get inside.
164	Lumuhod siya upang manalangin.	She went down on her knees to pray.
165	Patay na sila.	They are dead.
166	Magiging mahirap iyan.	That'll be tough.
167	Hindi ako pwede ngayon.	I can't right now.
168	Ano sa tingin mo?	What are our thoughts on this?
169	May trabaho ako.	I have a job.
170	Mahal ko siya.	I love her.
171	Pulis ka ba?	Are you a policeman?
172	Anong problema?	Where is the problem?
173	Kunin mo si Tom.	Take Tom.
174	Diyan ka lang.	Sit tight.
175	Wala silang kotse.	They don't have a car.
176	Papa, mahal kita!	Daddy, I love you!
177	Bata ang lalaki.	The man is young.
178	Sino ang taong ito?	Who is this person?
179	Gusto kong malaman.	I want to know.
180	Patayin ang ilaw.	Turn off the light.
181	Umuulan sa labas.	It's pouring outside.
182	Kilalanin ang sarili.	Know yourself.
183	Mas mabuti ito.	This is better.
184	Heto ang libro mo.	Here is your book.
185	Amin itong supot.	This is our bag.
186	Sino ang pumatay kay Tom?	Who killed Tom?
187	Kumusta ang iyong ama?	How's your father?
188	Magaling na ako.	I'm better now.
189	Kilala kita.	I know you.
190	Tumawa siya hanggang luha.	He laughed until he cried.
192	Akala ko halata.	I thought it was obvious.
193	May sakit ka sa puso.	You have heart disease.
195	Habang buhay kitang iibigin.	I will love you forever.
196	Magdala ng tulong.	Bring help.
197	punta tayo kanila mark	Let's go to Mark's place.
198	Tutubo ito uli.	It will grow back.
199	Tulungan mo ako, pakiusap?	Give me a hand, will you?
200	Ilang taon ka na?	How old are you?
201	Huwebes bukas.	Tomorrow is Thursday.
202	Itaas ang kamay!	Hands up!
205	Imbitado siya diba?	She's invited, isn't she?
206	Tulungan mo ako!	Help me!
207	Makinig ka pa.	Keep listening.
208	May dumating.	Someone came.
209	Marikit itong espada.	It's a beautiful sword.
210	Kamusta, Tom!	Hello, Tom!
211	Nars ang babae.	The woman is a nurse.
212	Nasaan ang pagkain?	Where is the food?
213	Puti siya dati.	It was white.
214	Medyo astig.	It was pretty neat.
215	Walàng dahilan para matakot.	There's no reason to be afraid.
217	Siya ay masaya na parang hari.	He is as happy as a king.
218	Malapit na tayo.	We're almost there.
219	Ito ang kapatid ko.	This is my brother.
220	Saan ako noon?	Where was I?
221	Tara sa tindahan.	Let's go to the store.
222	Ano pagkatapos?	What happens next?
223	Ingat sa aso!	Beware of the dog!
224	Naging tanga ako.	I was foolish.
225	Puwede ba akong makakuha ng resibo?	Can I have a receipt?
226	Parati kang kumakanta.	You always sing.
227	Anong susunod?	What happens next?
229	Isara ang pinto.	Shut the door.
230	Bumalik ako.	I came back.
231	Linggo ngayon.	Today is Sunday.
232	Hindi maaari ito.	I won't stand for this.
234	Kasalanan ko.	My fault.
235	Hayaan mong mahalin kita!	Let me love you!
236	Bilisan natin.	Let's pick up the pace.
237	Mamatay ka na!	Die already!
238	Saan ang daan?	Where is the road?
239	Sasama sa atin si Tom.	Tom will be coming with us.
240	Ano ang bilang?	What's the tally?
241	Huli na ako bumangon.	I got up late.
242	Magandang umaga!	Good morning!
243	Ang pusa ay hayop.	Cats are animals.
244	Ang tanga ko.	I was foolish.
245	Sunog! Takbo!	Fire! Run!
246	Sinong kumuha?	Who took it?
247	Magagawan iyan ng paraan.	That can be arranged.
248	Bakit ka takot?	Why are you afraid?
249	Sikat yata si Tom.	I think Tom is popular.
250	Balak kong maghintay.	I intend to wait.
251	Ulitin mo isang beses pa.	Repeat that one more time.
252	Tatay ko ito.	This is my father.
253	Tuyo ang lupa.	The soil is dry.
255	Maliit si Tom.	Tom is short.
256	Anong mayroon?	What's up?
258	Oo, kung minsan.	Yes, sometimes.
259	Lumabas siya.	He went out.
260	Ang bawat tao'y tumayo.	Everyone stood.
261	Ganito naman talaga ako.	I've always been this way.
262	Katulad ng akin ang sulat-kamay mo.	Your handwriting is similar to mine.
263	Ito'y wala kundi ksenopobya.	This is nothing more than xenophobia.
264	Mukha kang inip.	You look bored.
265	Malaki ka na.	You are now an adult.
266	Tumahimik ka!	Shut the hell up!
267	Puno ang tren.	The train was crowded.
268	Kotse ko ito.	This is my car.
269	Opo, kaya po naming magbago.	Yes, we can change.
270	Kumuha ka ng mga gamit.	Go get some tools.
271	Alam mo, no?	You know, don't you?
272	Wag magsalita!	Don't talk!
273	Mas marunong ako kaysa sa'yo	I'm more experienced than you are.
274	Naghintay ako nang matagal.	I was waiting for a long time.
275	Tumingin si Tom.	Tom looked.
276	Sigurado ako.	I am sure.
277	Pumasok kayo.	Come inside.
279	Uminit ang hangin.	The air became warm.
280	Nasa taas silang lahat.	They're all upstairs.
281	Masaya iyon.	It was fun.
282	Tawagan mo ako.	Call me.
283	Galing ako sa ilalim.	I come from below.
285	Asawa ko ito.	This is my wife.
286	Higit na matanda ako.	I'm older.
287	Ay naku! Nauubusan tayo ng gasolina.	Oh, no! We're running out of gas.
288	Sino ang gumawa?	Who made it?
289	Gusto mong sumama?	Would you like to come?
290	Bansa ang Niue.	Niue is a country.
291	Bigyan mo ako!	Give me some!
292	Dahil sa virus na iyan, maraming elepante ang nasawi.	Because of that virus, many elephants lost their lives.
293	Nasa gubat siya.	He's in the forest.
294	Masakit ang ulo ko.	I have a headache.
295	Madali siyang makuha.	It was easy to obtain.
297	Pasensiya na.	I'm sorry.
298	Ensayuhin natin ang ikaapat na eksena.	Let's rehearse the fourth scene.
299	Huwag manatili.	Don't stay.
300	May diperensiya itong makina.	There's something wrong with this machine.
301	Buksan ang baul.	Open the chest.
302	Sa likod kami umupo.	We sat in the back.
304	Walang buwan.	The moon doesn't exist.
305	Sinong nandoon?	Who was there?
306	Naghintay ako ng sampung minuto.	I waited for ten minutes.
307	Kita tayo mamaya.	I'll see you later.
308	Namatay siya.	She died.
309	Pagkakataon ko iyon.	It was my opportunity.
310	May nakikita akong isang liwanag.	I see a light.
311	Mabuti siyang kapwa.	He is a good fellow.
312	Mahirap kausapin si Tom.	It's hard to talk to Tom.
313	Kalokohan iyon.	That's a joke.
314	Kumusta, Tom?	How are you, Tom?
315	Basta tingnan ako.	Just watch me.
316	Wag kang ganyan.	Don't be like that.
317	Kalbo halos lahat.	Almost everyone was bald.
318	Kukunin ko pareho.	I'll take both.
319	Nanay ko ito.	This is my mom.
320	Sa wakas ay gising na si Tom.	Tom is finally up.
321	Ipakita sa akin.	Show me.
322	Masama si Tom.	Tom is evil.
323	Pamilya tayo.	We are family.
324	Pula ang dugo.	Blood is red.
325	Parang galit so Tom.	Tom sounds angry.
326	Mayroon kang telepono.	You have a telephone.
327	Mali ba ako?	Am I not right?
328	Bakit ba wala akong boypren?	Why don't I have a boyfriend?
329	Siyempre naman.	Of course.
330	Bakit ganoon?	Why was that?
331	Anong nais mo?	What's your wish?
332	Badtrip si Tom kanina.	Tom was in a bad mood today.
333	Dumadaloy sa lungsod ang ilog.	The river flows through the city.
334	Walang tigil ang pag-ulan.	It's raining non-stop.
335	Huwag mag-alala.	No need to worry.
336	Umalis agad.	Leave immediately.
337	Sumusumpa ako sa harap ng Diyos.	I swear before God.
338	Takot ako sa kamatayan.	I'm afraid of death.
339	Pangako ko po.	I swear.
340	Mabilis ang proseso.	The process was quick.
341	Kumain kami.	We ate.
342	Hanapin si Tom.	Find Tom.
343	Ang tawag sa ibong ito'y bako.	This bird is called a seagull.
344	Bulok ang gobyerno!	The government is corrupt!
345	Anong pakialam mo?	What do you care?
346	Ligtas ba si Tom?	Is Tom safe?
347	Ang guwapo niya.	He is very handsome.
348	Nagpatuloy ang laban.	The fight continues.
349	Salamat ulit.	Thanks again.
350	Malakas ang lalaki.	The man is strong.
351	Nagmumula sa loob ang enerhiya.	Energy comes from inside.
352	Maayos si Tom.	Tom is neat.
353	Sino'ng darating?	Who is coming?
354	May tumawag.	Someone called.
355	Ikaw ang may-ari.	You're the owner.
356	Kailan po ba?	When?
357	Kuha ba sa labas ang mga larawang ito?	Were these pictures taken outside?
358	Grabe nga ito.	This is serious indeed.
359	May posas sa kama.	There was a pair of handcuffs on the bed.
360	Palagay ko'y gutom ka.	I suppose you're hungry.
361	Kuwarto ko ito.	This is my room.
362	Umiyak si Mama.	Mama cried.
363	Siya mismo pumunta doon.	He himself went there.
365	Hindi siya masaya lagi.	She is not always happy.
366	Wala akong ibibigay sa iyo.	I don't have anything to give to you.
367	Hirap akong lumunok.	I have trouble swallowing.
368	Mahirap ito.	This is difficult.
369	Malaki ang puwet ni Rima.	Rima has a big ass.
370	Babalik kami muli.	We're going to come again.
371	May pera ako.	I have money.
372	Saan ka magaaral ng Aleman?	Where are you going to learn German?
373	Hindi siya kasal.	He is unmarried.
374	Tahimik at makinig!	Shut up and listen!
375	Huwag kalimutan.	Don't forget.
376	Lakas ang kaalaman.	Knowledge is power.
377	Uy, saan ka galing?	Hey, where've you been?
378	Ito ang tanong ko.	This is my question.
379	Gawa, hindi salita.	Actions, not words.
380	Gusto mo bang tignan?	Do you want to take a look?
381	Magsisimula ako pagdating niya.	I will start after he comes.
382	May sakit ako!	I'm sick!
383	May mga isla sa dagat.	There are islands in the sea.
384	Nasa panganib si Tom.	Tom is in danger.
385	Magkaroon ka ng pasensiya.	Have patience.
386	Subukan ito.	Try this.
387	Ikaw bahala.	You decide.
388	Walang uupo sa tabi ko.	No one would sit next to me.
389	Ibigay mo sa akin iyan.	Give me those.
391	Ipinako ng mga Romano si Kristo sa krus.	Christ was crucified by the Romans.
392	Papunta sa bangko si Tomas.	Tom is going to the bank.
393	Puno ang bar.	The bar is crowded.
394	Galit ka ba?	Are you mad?
395	Malabo ang litrato.	The photograph is blurry.
396	Mahilig ako sa aso.	I like dogs.
397	Magsayaw daw ako.	She asked me to dance.
398	Bakla ka ba?	Are you gay?
399	Sinasabi ni Tom na mayroon siyang nakitang dragon.	He claims he saw a dragon.
400	Sino iyong unang narito?	Who was here first?
401	Nanalo siya sa pamamagitan ng knockout.	He won the fight by a knockout.
402	Umuulan kagabi.	It was raining last night.
403	Nagtatrabaho ako tuwing Lunes.	I work on Mondays.
404	Ligtas sina Tom at Mary.	Tom and Mary are safe.
405	Ayoko ng itlog.	As for me, I don't like eggs.
406	Gumawa ba sila ng sulat?	Did they write a letter?
407	Nagbibigay ako kada buwan.	I donate every month.
408	Tinuklas ko ang ilog.	I explored the river.
409	Hubot hubad ako.	I'm completely naked.
410	Tunay pala yung tsismis.	The rumor turned out to be true.
411	Handa na kami.	We're ready.
412	Wala silang laman.	They're hollow.
413	Hindi ko ito susi.	This is not my key.
414	Mas malakas ako kesa sa kapatid kong lalaki.	I am stronger than my brother.
415	Nagligo sila sa lawa.	They swam in the lake.
416	Punta ka dito, bilis!	Come quick!
417	Kakaiba ito.	This is odd.
418	Nakaimbak ang ihi sa bayag.	Pee is stored in the balls.
419	Dali! Mahuhuli na tayo.	Come on! We'll be late.
420	Ilan ang mga kulay?	How many colors are there?
421	Masakit ang buong katawan ko.	My body aches all over.
422	Hindi nababago ang nakaraan.	The past can't be changed.
423	Anong inumin?	What to drink?
424	Buti wala dito si Tom.	It's good Tom isn't here.
425	Eto ang batang lalaki.	Here's the boy.
427	Lalabas ang katotohanan.	The truth will come out one day.
428	May narinig si Ziri na malakas na sigaw.	Ziri heard a loud yell.
429	Puriin ang Panginoon.	Praise the Lord.
430	Hindi siya susuko kailanman.	He will never yield.
431	Hayskul na estudyante siya.	He's a high school student.
432	Isipin muli.	Think again.
433	Hindi ito mahalaga.	It doesn't matter.
434	Pasensya na Tom.	Sorry about that, Tom.
435	O, eto para sa 'yo.	Here you are.
436	Armado ang mga sundalo.	Soldiers bear arms.
437	Masakit ang mata ko.	My eye hurts.
438	Mayroong kantidad pati kalidad.	There's quantity as well as quality.
439	Maari ba kitang makausap?	May I talk to you?
440	Mahalin mo ang iba gaya ng pagmamahal mo sa sarili!	Love others as you love yourself!
442	Pwedeng mangyari iyon.	That can happen.
443	Puro mali ang ulat na ito.	This report is full of errors.
444	Nakakatakot ang pagbabago.	Change is scary.
445	Maligayang kaarawan!	Happy birthday!
446	Mabuhay ang reyna!	May the queen live long!
447	Gaano kalaki?	How big?
448	Aling planeta ang pinakamalapit sa Araw?	Which planet is nearest to the Sun?
449	Nag-aaway uli sina ma at pa.	Mom and Dad are fighting again.
450	Adik ako sa titi.	I'm addicted to cocks.
451	Ito ay langis.	This is oil.
452	Kumuha ng baril si Tom.	Tom obtained a firearm.
453	Galing ako sa baba.	I come from below.
454	Nasaan ang kuya mo?	Where's your older brother?
455	Nagkaroon ng paglilitis.	There was a trial.
456	Dalhin mo si Tom.	Take Tom.
457	May tiwala ako sa kaniya.	I trust him.
458	Malaki ang populasyon ng siyudad.	The city has a large population.
459	Ang sarap ng amoy!	What a delicious aroma!
460	Pagod ka ba?	Are you tired?
461	Gayon din po.	Likewise.
462	Mas mahusay ako.	I'm better.
464	Ibinigay ko ang mga susi kay Tom.	I gave Tom the keys.
465	"Nagkakamali rin ang lahat." "Lalo na ang mga gago!"	"Everyone makes mistakes." "Especially idiots!"
466	Siya ay mag-isa.	She is alone.
467	Ano ang itsura ko?	How do I look?
468	Pusa ko ito.	This is my cat.
469	Bumili ako ng isa.	I purchased one.
470	Libro ko iyan.	That is my book.
471	Maligayang Pasko!	Merry Christmas!
472	Tuloy ka nang wala ako.	Go on without me.
473	Walang ina ang bata.	The girl has no mother.
474	Sino dapat una?	Who should start?
475	Tumayo kami.	We stood.
476	Sasama ka sa amin?	Are you going with us?
477	May Facebook account ka ba?	Do you have a Facebook account?
478	Hindi pa tapos ang kwento mo.	Your story isn't over yet.
479	Dadaan ako sa tanggapan ng koreo.	I'm going by the post office.
480	Magandang simula ito.	This is a good start.
481	Bakit andito ka?	Why were you here?
482	Naninirahan siya sa bundok.	He lives out in the boondocks.
483	Tumakbo ako.	I ran.
484	Hati ang kalaban.	The opposition was divided.
485	Maraming uri ng kape.	There are various kinds of coffee.
487	Baliw ka ba?	Are you crazy?
488	Ayoko ng itlog.	As for me, I don't like eggs.
489	Hindi ko maintindihan.	I do not understand.
490	Nasa opisina ako.	I'm at the office.
491	Nagkaroon ng palakpakan.	There was applause.
492	Ano ang pag-ibig?	What is love?
493	Lumaki na si Marie.	Marie has grown.
494	Dating atleta si Tom.	Tom is a former athlete.
496	Hinaan mo ang apoy.	Turn the flame down low.
498	Gutom na ako!	I'm hungry!
499	Sino ang ate mo?	Who's your big sister?
500	Gawa, hindi salita.	Actions, not words.
501	Humina ang ulan.	The rain eased.
502	Kiniskis ni Sami ang dahon sa mga labi niya.	Sami rubbed the leaf on his lips.
503	Namili si inay.	Mother has gone shopping.
504	Tapusin ito.	Finish this.
505	Mataas ang alon.	The waves are high.
506	Ninakaw ang yaman ng mga pirata.	The treasure was stolen by pirates.
507	Huwag muna mawala ng pag-asa.	Don't give up hope yet.
508	Lalo siyang nabalisa dahil sa balita.	The news added to his anxiety.
509	Isipin muli.	Think again.
510	Mabait siya.	She is kind.
511	Yari ito sa kahoy.	This is made of wood.
512	Sumunod ako.	I obeyed.
513	Hindi ito sapat.	It's not enough.
514	Seryoso ka ba?	Are you serious?
515	Pranses ako.	I am French.
516	Lampas siyam na libo!	It's over nine thousand!
517	Dinalaw ni Datu si Alvin.	Datu visited Alvin.
518	Wala ka ng pag-asa.	You are hopeless.
519	Sino ang magnanakaw?	Who was the thief?
520	Nauuhaw ang karagatan.	The ocean is thirsty.
522	Wala pong tao.	No one was present.
523	Plano kong umalis.	I'm planning to leave.
524	Pumirma ka sa ibaba.	Sign it at the bottom.
525	Huwag ka masyadong lumayo.	Don't wander too far.
527	Nagiging ulyanin na ako.	I'm becoming forgetful.
528	Hinila niya ang nilalang.	He dragged the creature.
529	Bilog ang mga bola.	Balls are round.
530	Ideya ng nanay ko 'yan!	That's my mom's idea!
532	Ikaw ang paborito ko.	You're my favorite.
533	Baka nasa kusina si Tom, pero ewan ko.	Tom could be in the kitchen, but I don't know.
534	Magbigay ka ng mga halimbawa.	Give examples.
535	Itim si Tom.	Tom is black.
536	Umupo siya sa kama.	He sat on the bed.
537	Tumutubo ang mga halaman.	Plants grow.
538	Ano ang relasyon mo kay Tom?	What was your relationship with Tom?
539	Ano ang suot mo?	What are you wearing?
540	Huminto ako.	I paused.
541	Ano'ng balita?	What's the news?
542	May sira ba?	Is it damaged?
543	May tatlo siyang ate.	He has three elder sisters.
544	Tapos na ang klase.	Class dismissed.
545	Natural na penomeno ang kulog at kidlat.	Thunder and lightning are natural phenomena.
546	Mabagsik ang kalikasan.	Nature is cruel.
547	Natapos nina Tom at Mary ang kanilang misyon nang walang kahirap-hirap.	Tom and Mary accomplished their mission without any difficulty.
548	Lobo po yata.	I think it's a wolf.
549	Dapat silang alisin.	They must be removed.
550	Paalam na, Sayoko.	Goodbye, Sayoko.
551	Si Tom ba isang aktor?	Is Tom an actor?
552	Bumaba ka dito!	Come down here!
555	Sinong tagumpay?	Who succeeded?
556	Mahilig ang mga kuneho sa karot.	Rabbits like carrots.
557	May dala pong plaslayt si Tom.	Tom brought a flashlight with him.
558	May apat na panahon.	There are four seasons.
560	Nasa malayo ka ba?	Are you far away?
561	May pamangkin ako. Bartender siya.	I have a nephew. He's a bartender.
562	Alam kong mahirap itong tanggapin.	I know this is difficult to accept.
563	Ang sama ng amoy.	The odor is vile.
564	Huwag mong alalahanin.	Don't worry about it.
565	Kainin mo lahat.	Eat everything.
566	Hindi dapat natin silang pabayaan.	We must not let them down.
567	Wala sa banda si Tom.	Tom isn't in the band.
568	Pasok sa loob.	Get inside.
569	Puno ang bar.	The bar is crowded.
570	Nasaan ang iyong sandata?	Where's your weapon?
571	Malapit na akong matapos.	I'm almost done.
572	Ang kalusugan ay kayamanan.	Health is wealth.
573	Ingat sa aso!	Beware of the dog!
574	Uuwi si itay bukas.	Father is coming home tomorrow.
575	Maghubad ka ng pantalon.	Take off your pants.
576	Espesyal itong okasyon.	This is a special occasion.
577	Pumila nang dalawang linya.	Form two lines.
578	Gusto kong maniwala diyan.	I want to believe that.
579	Uy, ang astig niyan!	Hey, that's really neat.
580	Nagsinungaling si Tom tungkol sa kanyang grado.	Tom lied about his grade.
581	Wag mong pansinin.	Ignore it.
583	Paulit-ulit ang tugtog ng musikang ito.	The music is playing in an endless loop.
584	Madali lang!	Piece of cake!
585	May karapatan kami.	We have rights.
586	Ang ibang sansinukob ay marahil pawang ibang katunayan.	Another universe is perhaps a different reality altogether...
587	Isda po iyon.	This is a fish.
588	Hindi nagtagal ang pagdiriwang.	The celebration didn't last long.
589	Wala itong halaga.	It has no value.
590	May taglay na mahiwagang kapangyarihan si Tom.	Tom possesses magical powers.
591	Halos sumuko sila raw.	They said that they'd almost given up.
592	Gumising ka!	Wake up!
593	Wala siyang sala sa krimen.	He is innocent of the crime.
595	Umuwi na tayo!	Let's go home!
596	Gusto mo bang puntahan iyan?	Do you want to go there?
597	Higpitan mo ang hawak.	Grip tighter.
598	Kaunti ang impormasyon nila sa heograpiya.	They had little information about geography.
599	Nasaan ang relo ko?	Where is my watch?
600	Alam niya ang lihim.	He knows the secret.
601	Butas ang karpet.	There was a hole in the carpet.
602	Ikaw ang pinuno.	You're the leader.
603	Magtiwala ka sa akin, brad.	Trust me, bro.
604	Nagpaalam ako sa mga bisita.	I bade farewell to the guests.
606	Gusto kong bumili ng bagong laptop, kaso wala akong pera.	I want to buy a new laptop, but I don't have the money.
607	Importante ka sa akin.	Thou art important to me.
608	Sino ang nagbigay ng utos?	Who gave the command?
609	Tumakas ako.	I escaped.
610	Babalik ako sa katapusan ng taon.	I'll be back by the end of the year.
611	Gusto mo ba ang San Francisco?	Do you like San Francisco?
612	Magkano ito?	How much is this?
613	Sumakay siya.	He went on board.
614	Tupiin sa kalahati ang dahon.	Fold the leaf in half.
615	Tanungin mo sila.	Ask them.
617	Asan na ang kalsetin ko?	Where are my socks?
618	Maghanap ka pa.	Keep searching.
619	Malubha ang sitwasyon.	The situation is grave.
620	Makitid ang utak ni Tom.	Tom is narrow-minded.
621	Mga ibon ito.	These are birds.
622	Hoy, iwasan mo muna yung boss natin. Mukhang badtrip siya ngayon eh.	Hey, steer clear of the boss today, he seems really ticked off about something.
623	Ipinagawa ko ang pintuan.	I had the door mended.
624	Lumamon ng palaka ang ahas.	The snake swallowed a frog.
625	Isip ko'y tama ka.	I think you're right.
626	Asul ang langit.	The sky is blue.
627	Lobo po ako.	I'm a wolf.
628	Sabihan mo si Tom na magsuklay siya ng buhok.	Tell Tom to comb his hair.
629	Huwag ito hawakan.	Don't touch it.
630	Alak mo 'to.	This is your wine.
632	Gumulong ang bato pababa ng burol.	The rock rolled down the hill.
633	Papel ba iyan?	Is that paper?
634	Inasahan ni Tom na magkakaroon ng gulo.	Tom anticipated that there would be trouble.
635	Kumilos ayon sa polisiya.	Operate in accordance with policy.
636	Walang sinuman ay perpekto.	Nobody is perfect.
637	Ano ang motibo ni Tom sa pagpatay?	What was Tom's motive for committing murder?
638	Kung masira ang makina, responsable ka.	If the machine is damaged, you are responsible.
639	Kulang ng tinidor.	A fork is missing.
640	Uminom tayo.	Let's drink.
641	Gawa sa plastik ang upuan.	This chair is made of plastic.
642	Ang gulo ng buhok mo.	Your hair is a mess.
643	Bakit `di mo siya iwan?	Why don't you leave him?
644	Nagustuhan mo ba?	Did you like it?
645	Maghubad ka ng damit.	Take off your clothes.
646	Manahimik ka!	Shut up!
647	Pangit ang ate mo.	Your sister is ugly.
648	Araw-araw umiinit.	It keeps getting hotter everyday.
649	Umuulan ng yelo.	It's hailing.
650	Ulan, ulan, lumayas ka!	Rain, rain go away!
651	Tigilan iyan.	Stop that.
